region,sector,0
RU,Mining of aluminium ores and concentrates,5.08857524622003
WA,Mining of aluminium ores and concentrates,5.594491631029996
WL,Mining of aluminium ores and concentrates,12.101998645200002
IN,Mining of aluminium ores and concentrates,12.972677660700002
Below Threshold,Sum of below threshold,15.40733183907332
WF,Mining of aluminium ores and concentrates,18.736583571299956
BR,Mining of aluminium ores and concentrates,30.819375406399978
CN,Mining of aluminium ores and concentrates,37.17380000000007
ID,Mining of aluminium ores and concentrates,40.643000000000086
AU,Mining of aluminium ores and concentrates,70.23100000000034
